DATE,TMAX
2007/12/31,41
2008/1/1,40
2008/1/2,33
2008/1/3,14
2008/1/4,32
2008/1/5,42
2008/1/6,47
2008/1/7,55
2008/1/8,67
2008/1/9,62
2008/1/10,49
2008/1/11,57
2008/1/12,48
2008/1/13,44
2008/1/14,39
2008/1/15,35
2008/1/16,34
2008/1/17,35
2008/1/18,47
2008/1/19,35
2008/1/20,34
2008/1/21,25
2008/1/22,40
2008/1/23,37
2008/1/24,32
2008/1/25,31
2008/1/26,33
2008/1/27,34
2008/1/28,41
2008/1/29,40
2008/1/30,50
2008/1/31,36
2008/2/1,54
2008/2/2,53
2008/2/3,45
2008/2/4,40
2008/2/5,45
2008/2/6,46
2008/2/7,37
2008/2/8,32
2008/2/9,37
2008/2/10,43
2008/2/11,26
2008/2/12,30
2008/2/13,40
2008/2/14,39
2008/2/15,47
2008/2/16,31
2008/2/17,45
2008/2/18,62
2008/2/19,45
2008/2/20,31
2008/2/21,31
2008/2/22,32
2008/2/23,34
2008/2/24,39
2008/2/25,47
2008/2/26,40
2008/2/27,40
2008/2/28,28
2008/2/29,25
2008/3/1,39
2008/3/2,41
2008/3/3,49
2008/3/4,60
2008/3/5,60
2008/3/6,42
2008/3/7,43
2008/3/8,58
2008/3/9,51
2008/3/10,39
2008/3/11,43
2008/3/12,43
2008/3/13,38
2008/3/14,51
2008/3/15,40
2008/3/16,41
2008/3/17,44
2008/3/18,39
2008/3/19,41
2008/3/20,45
2008/3/21,40
2008/3/22,47
2008/3/23,45
2008/3/24,44
2008/3/25,38
2008/3/26,58
2008/3/27,55
2008/3/28,43
2008/3/29,36
2008/3/30,41
2008/3/31,53
2008/4/1,64
2008/4/2,55
2008/4/3,53
2008/4/4,44
2008/4/5,54
2008/4/6,42
2008/4/7,43
2008/4/8,45
2008/4/9,53
2008/4/10,72
2008/4/11,53
2008/4/12,61
2008/4/13,49
2008/4/14,55
2008/4/15,53
2008/4/16,58
2008/4/17,56
2008/4/18,68
2008/4/19,57
2008/4/20,55
2008/4/21,52
2008/4/22,67
2008/4/23,84
2008/4/24,74
2008/4/25,62
2008/4/26,53
2008/4/27,51
2008/4/28,58
2008/4/29,60
2008/4/30,53
2008/5/1,60
2008/5/2,50
2008/5/3,48
2008/5/4,52
2008/5/5,58
2008/5/6,66
2008/5/7,70
2008/5/8,77
2008/5/9,61
2008/5/10,59
2008/5/11,58
2008/5/12,51
2008/5/13,66
2008/5/14,60
2008/5/15,69
2008/5/16,59
2008/5/17,73
2008/5/18,71
2008/5/19,60
2008/5/20,66
2008/5/21,71
2008/5/22,60
2008/5/23,72
2008/5/24,72
2008/5/25,71
2008/5/26,80
2008/5/27,83
2008/5/28,68
2008/5/29,77
2008/5/30,66
2008/5/31,76
2008/6/1,82
2008/6/2,78
2008/6/3,86
2008/6/4,70
2008/6/5,59
2008/6/6,61
2008/6/7,92
2008/6/8,93
2008/6/9,95
2008/6/10,95
2008/6/11,87
2008/6/12,81
2008/6/13,78
2008/6/14,75
2008/6/15,64
2008/6/16,67
2008/6/17,80
2008/6/18,74
2008/6/19,75
2008/6/20,80
2008/6/21,83
2008/6/22,84
2008/6/23,73
2008/6/24,78
2008/6/25,83
2008/6/26,82
2008/6/27,85
2008/6/28,69
2008/6/29,75
2008/6/30,88
2008/7/1,88
2008/7/2,80
2008/7/3,88
2008/7/4,72
2008/7/5,69
2008/7/6,79
2008/7/7,87
2008/7/8,90
2008/7/9,90
2008/7/10,84
2008/7/11,77
2008/7/12,83
2008/7/13,84
2008/7/14,84
2008/7/15,88
2008/7/16,82
2008/7/17,85
2008/7/18,92
2008/7/19,95
2008/7/20,82
2008/7/21,84
2008/7/22,73
2008/7/23,71
2008/7/24,83
2008/7/25,77
2008/7/26,85
2008/7/27,80
2008/7/28,85
2008/7/29,86
2008/7/30,80
2008/7/31,85
2008/8/1,80
2008/8/2,75
2008/8/3,80
2008/8/4,83
2008/8/5,71
2008/8/6,66
2008/8/7,71
2008/8/8,74
2008/8/9,77
2008/8/10,76
2008/8/11,68
2008/8/12,75
2008/8/13,80
2008/8/14,75
2008/8/15,75
2008/8/16,81
2008/8/17,82
2008/8/18,87
2008/8/19,79
2008/8/20,75
2008/8/21,78
2008/8/22,79
2008/8/23,78
2008/8/24,76
2008/8/25,84
2008/8/26,75
2008/8/27,73
2008/8/28,74
2008/8/29,75
2008/8/30,79
2008/8/31,82
2008/9/1,84
2008/9/2,76
2008/9/3,75
2008/9/4,88
2008/9/5,89
2008/9/6,83
2008/9/7,80
2008/9/8,79
2008/9/9,77
2008/9/10,70
2008/9/11,68
2008/9/12,68
2008/9/13,73
2008/9/14,73
2008/9/15,82
2008/9/16,65
2008/9/17,67
2008/9/18,68
2008/9/19,58
2008/9/20,62
2008/9/21,75
2008/9/22,61
2008/9/23,62
2008/9/24,63
2008/9/25,65
2008/9/26,63
2008/9/27,68
2008/9/28,71
2008/9/29,69
2008/9/30,64
2008/10/1,68
2008/10/2,64
2008/10/3,64
2008/10/4,63
2008/10/5,56
2008/10/6,60
2008/10/7,66
2008/10/8,71
2008/10/9,74
2008/10/10,71
2008/10/11,70
2008/10/12,65
2008/10/13,62
2008/10/14,67
2008/10/15,63
2008/10/16,70
2008/10/17,60
2008/10/18,53
2008/10/19,50
2008/10/20,56
2008/10/21,59
2008/10/22,48
2008/10/23,48
2008/10/24,63
2008/10/25,66
2008/10/26,66
2008/10/27,61
2008/10/28,54
2008/10/29,46
2008/10/30,46
2008/10/31,63
2008/11/1,61
2008/11/2,44
2008/11/3,52
2008/11/4,66
2008/11/5,59
2008/11/6,58
2008/11/7,59
2008/11/8,62
2008/11/9,59
2008/11/10,53
2008/11/11,50
2008/11/12,48
2008/11/13,50
2008/11/14,59
2008/11/15,70
2008/11/16,66
2008/11/17,48
2008/11/18,40
2008/11/19,33
2008/11/20,35
2008/11/21,35
2008/11/22,29
2008/11/23,33
2008/11/24,44
2008/11/25,51
2008/11/26,45
2008/11/27,45
2008/11/28,46
2008/11/29,45
2008/11/30,45
2008/12/1,60
2008/12/2,48
2008/12/3,46
2008/12/4,55
2008/12/5,42
2008/12/6,37
2008/12/7,37
2008/12/8,25
2008/12/9,56
2008/12/10,63
2008/12/11,40
2008/12/12,48
2008/12/13,32
2008/12/14,43
2008/12/15,63
2008/12/16,61
2008/12/17,42
2008/12/18,40
2008/12/19,34
2008/12/20,20
2008/12/21,36
2008/12/22,27
2008/12/23,28
2008/12/24,52
2008/12/25,55
2008/12/26,36
2008/12/27,49
2008/12/28,62
2008/12/29,44
2008/12/30,40
2008/12/31,28
2009/1/1,19
2009/1/2,34
2009/1/3,34
2009/1/4,38
2009/1/5,39
2009/1/6,35
2009/1/7,39
2009/1/8,40
2009/1/9,28
2009/1/10,26
2009/1/11,33
2009/1/12,29
2009/1/13,36
2009/1/14,37
2009/1/15,17
2009/1/16,18
2009/1/17,19
2009/1/18,32
2009/1/19,33
2009/1/20,32
2009/1/21,25
2009/1/22,33
2009/1/23,39
2009/1/24,40
2009/1/25,24
2009/1/26,24
2009/1/27,28
2009/1/28,37
2009/1/29,36
2009/1/30,36
2009/1/31,28
2009/2/1,45
2009/2/2,48
2009/2/3,35
2009/2/4,26
2009/2/5,20
2009/2/6,27
2009/2/7,42
2009/2/8,51
2009/2/9,39
2009/2/10,37
2009/2/11,58
2009/2/12,53
2009/2/13,42
2009/2/14,42
2009/2/15,41
2009/2/16,35
2009/2/17,37
2009/2/18,42
2009/2/19,48
2009/2/20,30
2009/2/21,39
2009/2/22,42
2009/2/23,34
2009/2/24,37
2009/2/25,36
2009/2/26,48
2009/2/27,60
2009/2/28,52
2009/3/1,30
2009/3/2,25
2009/3/3,26
2009/3/4,32
2009/3/5,39
2009/3/6,50
2009/3/7,61
2009/3/8,59
2009/3/9,41
2009/3/10,41
2009/3/11,53
2009/3/12,42
2009/3/13,33
2009/3/14,52
2009/3/15,52
2009/3/16,39
2009/3/17,42
2009/3/18,61
2009/3/19,49
2009/3/20,40
2009/3/21,39
2009/3/22,52
2009/3/23,34
2009/3/24,46
2009/3/25,46
2009/3/26,53
2009/3/27,49
2009/3/28,47
2009/3/29,45
2009/3/30,46
2009/3/31,49
2009/4/1,45
2009/4/2,51
2009/4/3,56
2009/4/4,53
2009/4/5,59
2009/4/6,51
2009/4/7,53
2009/4/8,47
2009/4/9,61
2009/4/10,66
2009/4/11,46
2009/4/12,44
2009/4/13,54
2009/4/14,52
2009/4/15,50
2009/4/16,49
2009/4/17,70
2009/4/18,65
2009/4/19,51
2009/4/20,48
2009/4/21,58
2009/4/22,62
2009/4/23,57
2009/4/24,70
2009/4/25,83
2009/4/26,87
2009/4/27,64
2009/4/28,93
2009/4/29,59
2009/4/30,70
2009/5/1,68
2009/5/2,70
2009/5/3,62
2009/5/4,64
2009/5/5,54
2009/5/6,61
2009/5/7,71
2009/5/8,76
2009/5/9,72
2009/5/10,68
2009/5/11,59
2009/5/12,59
2009/5/13,69
2009/5/14,64
2009/5/15,70
2009/5/16,66
2009/5/17,65
2009/5/18,53
2009/5/19,65
2009/5/20,80
2009/5/21,92
2009/5/22,89
2009/5/23,69
2009/5/24,81
2009/5/25,78
2009/5/26,55
2009/5/27,52
2009/5/28,51
2009/5/29,59
2009/5/30,78
2009/5/31,80
2009/6/1,71
2009/6/2,79
2009/6/3,71
2009/6/4,71
2009/6/5,64
2009/6/6,68
2009/6/7,83
2009/6/8,67
2009/6/9,62
2009/6/10,60
2009/6/11,58
2009/6/12,74
2009/6/13,69
2009/6/14,63
2009/6/15,62
2009/6/16,62
2009/6/17,75
2009/6/18,68
2009/6/19,72
2009/6/20,75
2009/6/21,64
2009/6/22,64
2009/6/23,67
2009/6/24,64
2009/6/25,74
2009/6/26,84
2009/6/27,77
2009/6/28,68
2009/6/29,75
2009/6/30,65
2009/7/1,63
2009/7/2,65
2009/7/3,75
2009/7/4,80
2009/7/5,81
2009/7/6,75
2009/7/7,66
2009/7/8,66
2009/7/9,65
2009/7/10,73
2009/7/11,79
2009/7/12,82
2009/7/13,78
2009/7/14,76
2009/7/15,82
2009/7/16,81
2009/7/17,85
2009/7/18,85
2009/7/19,83
2009/7/20,76
2009/7/21,67
2009/7/22,78
2009/7/23,72
2009/7/24,73
2009/7/25,85
2009/7/26,86
2009/7/27,87
2009/7/28,86
2009/7/29,83
2009/7/30,86
2009/7/31,81
2009/8/1,79
2009/8/2,78
2009/8/3,82
2009/8/4,83
2009/8/5,89
2009/8/6,77
2009/8/7,82
2009/8/8,74
2009/8/9,76
2009/8/10,89
2009/8/11,85
2009/8/12,70
2009/8/13,70
2009/8/14,80
2009/8/15,87
2009/8/16,87
2009/8/17,94
2009/8/18,95
2009/8/19,91
2009/8/20,80
2009/8/21,90
2009/8/22,87
2009/8/23,87
2009/8/24,78
2009/8/25,77
2009/8/26,86
2009/8/27,74
2009/8/28,70
2009/8/29,66
2009/8/30,72
2009/8/31,71
2009/9/1,69
2009/9/2,73
2009/9/3,75
2009/9/4,74
2009/9/5,76
2009/9/6,65
2009/9/7,67
2009/9/8,73
2009/9/9,70
2009/9/10,66
2009/9/11,64
2009/9/12,65
2009/9/13,80
2009/9/14,76
2009/9/15,77
2009/9/16,63
2009/9/17,61
2009/9/18,74
2009/9/19,67
2009/9/20,73
2009/9/21,70
2009/9/22,76
2009/9/23,81
2009/9/24,80
2009/9/25,66
2009/9/26,60
2009/9/27,67
2009/9/28,75
2009/9/29,69
2009/9/30,61
2009/10/1,57
2009/10/2,61
2009/10/3,63
2009/10/4,69
2009/10/5,67
2009/10/6,67
2009/10/7,69
2009/10/8,63
2009/10/9,61
2009/10/10,65
2009/10/11,61
2009/10/12,54
2009/10/13,53
2009/10/14,52
2009/10/15,43
2009/10/16,45
2009/10/17,49
2009/10/18,49
2009/10/19,54
2009/10/20,65
2009/10/21,68
2009/10/22,67
2009/10/23,57
2009/10/24,69
2009/10/25,65
2009/10/26,57
2009/10/27,52
2009/10/28,51
2009/10/29,49
2009/10/30,55
2009/10/31,73
2009/11/1,60
2009/11/2,52
2009/11/3,58
2009/11/4,51
2009/11/5,47
2009/11/6,50
2009/11/7,50
2009/11/8,68
2009/11/9,69
2009/11/10,65
2009/11/11,53
2009/11/12,52
2009/11/13,52
2009/11/14,55
2009/11/15,64
2009/11/16,59
2009/11/17,49
2009/11/18,50
2009/11/19,54
2009/11/20,67
2009/11/21,58
2009/11/22,51
2009/11/23,49
2009/11/24,49
2009/11/25,50
2009/11/26,51
2009/11/27,47
2009/11/28,53
2009/11/29,54
2009/11/30,56
2009/12/1,43
2009/12/2,53
2009/12/3,69
2009/12/4,54
2009/12/5,45
2009/12/6,37
2009/12/7,39
2009/12/8,41
2009/12/9,48
